epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,899.697,1.2424,1.00103,1.34422,0.80922,0.67998,0.75191,0.48828,1.26326,0.95821,1.18297,0.00095941,0.00095941,0.00095941
43,921.368,1.20122,0.9726,1.33221,0.8385,0.67998,0.76005,0.47713,1.33792,0.93704,1.1776,0.00095842,0.00095842,0.00095842
44,943.171,1.18448,0.96792,1.30814,0.83307,0.63185,0.71991,0.48799,1.20629,1.00408,1.16226,0.00095743,0.00095743,0.00095743
45,964.782,1.17635,0.96477,1.31601,0.81051,0.66799,0.74338,0.47878,1.26957,0.93827,1.17193,0.00095644,0.00095644,0.00095644
46,986.51,1.17779,0.91509,1.29502,0.82532,0.6554,0.75337,0.50658,1.18283,0.96778,1.15272,0.00095545,0.00095545,0.00095545
47,1008.63,1.18474,0.94115,1.30459,0.81228,0.68971,0.7591,0.49009,1.28754,0.9175,1.16967,0.00095446,0.00095446,0.00095446
48,1031.62,1.19514,0.96565,1.32215,0.72904,0.70456,0.72475,0.48318,1.18297,0.98266,1.13858,0.00095347,0.00095347,0.00095347
49,1054.79,1.14614,0.91862,1.27875,0.85086,0.66769,0.75132,0.49083,1.25088,0.92856,1.15669,0.00095248,0.00095248,0.00095248
50,1078.21,1.13823,0.91377,1.2956,0.81952,0.68817,0.75711,0.50587,1.18009,0.9119,1.14154,0.00095149,0.00095149,0.00095149
51,1101.35,1.16461,0.93629,1.28702,0.84362,0.65694,0.7444,0.49011,1.29509,0.94905,1.22237,0.0009505,0.0009505,0.0009505
52,1124.67,1.17797,0.93182,1.29091,0.81988,0.66191,0.74573,0.46141,1.37933,0.95314,1.22168,0.00094951,0.00094951,0.00094951
53,1147.77,1.16743,0.9193,1.29685,0.77797,0.66023,0.7302,0.47206,1.27513,0.95397,1.17433,0.00094852,0.00094852,0.00094852
54,1170.61,1.12542,0.89544,1.26606,0.81065,0.70814,0.76759,0.50682,1.18413,0.88339,1.12889,0.00094753,0.00094753,0.00094753
55,1192.17,1.11707,0.90428,1.28189,0.84843,0.6892,0.76657,0.51999,1.19911,0.9094,1.14855,0.00094654,0.00094654,0.00094654
