epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,836.024,1.28653,1.08993,1.41177,0.71479,0.69585,0.701,0.46136,1.22991,1.01257,1.19051,0.00095941,0.00095941,0.00095941
43,855.417,1.30083,1.09329,1.42574,0.68348,0.67947,0.67179,0.43162,1.35283,1.13165,1.25034,0.00095842,0.00095842,0.00095842
44,874.801,1.27696,1.06238,1.41033,0.75277,0.6704,0.72641,0.46062,1.32233,0.99428,1.20326,0.00095743,0.00095743,0.00095743
45,894.252,1.27851,1.0838,1.41617,0.82247,0.67384,0.76563,0.5101,1.20901,0.93447,1.15876,0.00095644,0.00095644,0.00095644
46,913.731,1.27268,1.07226,1.4008,0.72881,0.67152,0.6958,0.45408,1.23465,1.05678,1.19203,0.00095545,0.00095545,0.00095545
47,933.146,1.27787,1.04415,1.4039,0.77674,0.67159,0.72524,0.44764,1.35206,0.9709,1.22811,0.00095446,0.00095446,0.00095446
48,952.582,1.25519,1.03212,1.39421,0.8098,0.67364,0.74554,0.47963,1.2884,0.96281,1.21374,0.00095347,0.00095347,0.00095347
49,971.981,1.25709,1.03676,1.39148,0.80973,0.64936,0.73345,0.47657,1.25317,0.99495,1.20445,0.00095248,0.00095248,0.00095248
50,991.466,1.23528,1.02392,1.38466,0.80791,0.6554,0.737,0.49834,1.16802,0.94925,1.16603,0.00095149,0.00095149,0.00095149
51,1011.06,1.22812,0.99445,1.37248,0.83803,0.66233,0.75777,0.46069,1.38107,0.95341,1.22767,0.0009505,0.0009505,0.0009505
52,1030.61,1.24013,1.01838,1.37847,0.7963,0.65652,0.7396,0.50413,1.12486,0.97808,1.15443,0.00094951,0.00094951,0.00094951
53,1050.1,1.23712,0.99739,1.37839,0.77261,0.69417,0.74894,0.47878,1.27389,0.95301,1.18725,0.00094852,0.00094852,0.00094852
54,1069.51,1.20143,0.99426,1.34824,0.79869,0.6426,0.73297,0.47898,1.18687,0.9969,1.14194,0.00094753,0.00094753,0.00094753
55,1089,1.25978,1.03028,1.39458,0.83135,0.67179,0.75796,0.50669,1.18854,0.92588,1.17024,0.00094654,0.00094654,0.00094654
56,1108.41,1.25234,1.01914,1.37795,0.81225,0.66564,0.7533,0.49103,1.21349,0.92526,1.14627,0.00094555,0.00094555,0.00094555
57,1127.79,1.20967,0.98967,1.35427,0.82426,0.67998,0.7633,0.51805,1.1683,0.8888,1.14429,0.00094456,0.00094456,0.00094456
58,1147.26,1.19182,0.95686,1.34694,0.82609,0.6892,0.76982,0.51724,1.1678,0.86864,1.14504,0.00094357,0.00094357,0.00094357
59,1166.63,1.21305,0.98062,1.36112,0.84562,0.69556,0.77961,0.52962,1.17476,0.87013,1.15697,0.00094258,0.00094258,0.00094258
60,1186.02,1.19858,0.98229,1.3651,0.84938,0.67998,0.77956,0.54214,1.09269,0.87478,1.12641,0.00094159,0.00094159,0.00094159
61,1205.45,1.19031,0.97533,1.33111,0.79299,0.66103,0.73101,0.4895,1.17864,0.97419,1.16668,0.0009406,0.0009406,0.0009406
62,1224.96,1.15746,0.96585,1.32814,0.85402,0.68305,0.77524,0.54162,1.09732,0.87637,1.11748,0.00093961,0.00093961,0.00093961
63,1244.69,1.16287,0.95344,1.33884,0.83786,0.70148,0.78779,0.53877,1.14214,0.83609,1.12836,0.00093862,0.00093862,0.00093862
64,1264.12,1.15963,0.95629,1.32167,0.80892,0.70251,0.76513,0.51756,1.15258,0.92411,1.14107,0.00093763,0.00093763,0.00093763
65,1283.65,1.15453,0.9442,1.32889,0.78707,0.71354,0.76452,0.51746,1.13026,0.89401,1.11707,0.00093664,0.00093664,0.00093664
66,1303.19,1.14804,0.94221,1.3285,0.83864,0.69688,0.78478,0.55339,1.06722,0.8601,1.11629,0.00093565,0.00093565,0.00093565
67,1322.71,1.12511,0.93238,1.31582,0.84544,0.69841,0.7926,0.56646,1.03328,0.83002,1.09598,0.00093466,0.00093466,0.00093466
68,1342.21,1.1287,0.91488,1.30371,0.84342,0.70329,0.78799,0.53564,1.16317,0.82429,1.13803,0.00093367,0.00093367,0.00093367
69,1361.61,1.12454,0.9099,1.31442,0.82815,0.71309,0.79143,0.54164,1.12809,0.82698,1.11445,0.00093268,0.00093268,0.00093268
70,1381.11,1.11441,0.90595,1.29238,0.83407,0.69278,0.78432,0.53597,1.11564,0.83009,1.12027,0.00093169,0.00093169,0.00093169
71,1400.51,1.09863,0.88532,1.2974,0.83763,0.68459,0.78299,0.55227,1.05184,0.83247,1.10725,0.0009307,0.0009307,0.0009307
72,1420.01,1.10209,0.9009,1.28926,0.82478,0.70139,0.78324,0.51055,1.17333,0.8276,1.1581,0.00092971,0.00092971,0.00092971
73,1439.49,1.08873,0.87575,1.2876,0.84031,0.71992,0.79646,0.54129,1.12217,0.79454,1.12915,0.00092872,0.00092872,0.00092872
74,1458.96,1.08659,0.89526,1.29314,0.82638,0.71326,0.78436,0.54972,1.05255,0.82122,1.08506,0.00092773,0.00092773,0.00092773
75,1478.58,1.07685,0.88892,1.27488,0.81791,0.71889,0.79393,0.53374,1.13715,0.80926,1.12008,0.00092674,0.00092674,0.00092674
76,1497.96,1.05025,0.83544,1.25589,0.82881,0.7107,0.79196,0.53523,1.09221,0.8043,1.12773,0.00092575,0.00092575,0.00092575
77,1517.32,1.07798,0.8684,1.27696,0.86452,0.69534,0.79612,0.57438,1.02933,0.7758,1.08822,0.00092476,0.00092476,0.00092476
78,1536.82,1.06778,0.86309,1.26565,0.85766,0.6851,0.78208,0.53742,1.11517,0.79821,1.12794,0.00092377,0.00092377,0.00092377
79,1556.35,1.03814,0.85168,1.25313,0.79913,0.6979,0.76061,0.53108,1.06544,0.84753,1.11174,0.00092278,0.00092278,0.00092278
80,1575.81,1.06847,0.86293,1.27136,0.84361,0.70968,0.79027,0.57333,0.98962,0.77347,1.06735,0.00092179,0.00092179,0.00092179
81,1595.2,1.04558,0.84139,1.26131,0.86216,0.71685,0.80871,0.57775,1.0291,0.76732,1.08234,0.0009208,0.0009208,0.0009208
82,1614.61,1.07632,0.8297,1.28012,0.84671,0.70405,0.79167,0.55046,1.09139,0.81701,1.09581,0.00091981,0.00091981,0.00091981
83,1634.24,1.06448,0.84454,1.2635,0.81764,0.70253,0.77928,0.56776,0.97848,0.78717,1.06605,0.00091882,0.00091882,0.00091882
84,1653.68,1.04925,0.84241,1.271,0.84324,0.69022,0.79048,0.5445,1.07494,0.80296,1.1257,0.00091783,0.00091783,0.00091783
85,1673.1,1.04939,0.82278,1.26334,0.83638,0.68459,0.78957,0.57557,0.99192,0.77101,1.06875,0.00091684,0.00091684,0.00091684
86,1692.56,1.04735,0.83896,1.26066,0.81476,0.70712,0.77952,0.56054,1.03193,0.7937,1.09597,0.00091585,0.00091585,0.00091585
87,1712.05,1.01985,0.81504,1.24381,0.82042,0.69176,0.76934,0.55753,1.00111,0.81043,1.07451,0.00091486,0.00091486,0.00091486
88,1731.46,1.05951,0.83553,1.26376,0.83335,0.7067,0.79258,0.55097,1.05235,0.79584,1.07905,0.00091387,0.00091387,0.00091387
89,1750.95,1.03198,0.82411,1.25642,0.8488,0.69851,0.79946,0.57739,1.00525,0.75834,1.06687,0.00091288,0.00091288,0.00091288
90,1770.32,1.00808,0.81674,1.2338,0.84965,0.70316,0.79886,0.57823,1.03295,0.75592,1.08719,0.00091189,0.00091189,0.00091189
91,1789.84,1.00796,0.794,1.23838,0.88917,0.70661,0.81434,0.59946,0.97425,0.74157,1.04778,0.0009109,0.0009109,0.0009109
92,1809.37,1.03562,0.84406,1.25314,0.82735,0.71224,0.78282,0.56671,0.9671,0.79517,1.04586,0.00090991,0.00090991,0.00090991
93,1828.89,1.01262,0.82168,1.23884,0.85775,0.69483,0.79598,0.58545,0.95861,0.74337,1.04713,0.00090892,0.00090892,0.00090892
94,1848.37,1.00182,0.79767,1.22559,0.8663,0.70712,0.8102,0.56279,1.05101,0.7459,1.07844,0.00090793,0.00090793,0.00090793
95,1867.91,1.01905,0.81079,1.23984,0.86839,0.71964,0.81265,0.58098,1.00481,0.72958,1.05532,0.00090694,0.00090694,0.00090694
96,1887.49,0.99409,0.79391,1.23585,0.86435,0.70799,0.81347,0.5835,0.99488,0.76173,1.06922,0.00090595,0.00090595,0.00090595
97,1906.98,1.0058,0.81377,1.23323,0.85672,0.70456,0.80068,0.59061,0.94153,0.74064,1.03921,0.00090496,0.00090496,0.00090496
98,1926.5,0.99237,0.78465,1.23034,0.86819,0.70822,0.8097,0.58997,0.97303,0.73803,1.04294,0.00090397,0.00090397,0.00090397
99,1946.1,0.99625,0.80119,1.23478,0.83549,0.71275,0.79936,0.58977,0.94165,0.73544,1.03747,0.00090298,0.00090298,0.00090298
100,1965.56,1.00536,0.7858,1.22696,0.83586,0.71326,0.80171,0.58228,0.97796,0.73715,1.05823,0.00090199,0.00090199,0.00090199
101,1985.07,1.00411,0.80765,1.23587,0.88137,0.72278,0.82744,0.59844,0.99386,0.71064,1.04381,0.000901,0.000901,0.000901
102,2004.5,0.98108,0.78678,1.21857,0.86214,0.69841,0.809,0.57316,1.0628,0.75923,1.09062,0.00090001,0.00090001,0.00090001
103,2023.94,1.00912,0.78545,1.2452,0.85382,0.70917,0.80175,0.57097,1.00397,0.77499,1.05936,0.00089902,0.00089902,0.00089902
104,2043.4,0.99054,0.75543,1.20748,0.88118,0.71173,0.8156,0.58918,0.99338,0.74538,1.04184,0.00089803,0.00089803,0.00089803
105,2062.75,0.96685,0.76076,1.20281,0.84316,0.71842,0.80438,0.58399,0.97975,0.74363,1.04016,0.00089704,0.00089704,0.00089704
106,2082.27,0.97163,0.7836,1.21222,0.88261,0.71429,0.82366,0.60037,0.95349,0.70897,1.04765,0.00089605,0.00089605,0.00089605
107,2101.8,0.97136,0.76966,1.19526,0.8508,0.71829,0.80395,0.58708,0.96342,0.73907,1.05335,0.00089506,0.00089506,0.00089506
108,2121.31,0.98031,0.78156,1.20733,0.85018,0.73323,0.80994,0.5906,0.97025,0.72832,1.04149,0.00089407,0.00089407,0.00089407
109,2140.82,0.97905,0.78386,1.20773,0.88489,0.70609,0.81564,0.58289,1.01337,0.72295,1.07393,0.00089308,0.00089308,0.00089308
110,2160.33,0.9738,0.77119,1.22072,0.86617,0.7158,0.81919,0.60411,0.95376,0.71156,1.03947,0.00089209,0.00089209,0.00089209
111,2179.93,0.94958,0.77596,1.19578,0.84863,0.72657,0.81695,0.60313,0.93629,0.71694,1.05452,0.0008911,0.0008911,0.0008911
112,2199.51,0.95554,0.74656,1.19684,0.86277,0.72862,0.81961,0.57935,1.03839,0.71434,1.08999,0.00089011,0.00089011,0.00089011
113,2219.01,0.96634,0.76106,1.21407,0.85411,0.71945,0.80733,0.60079,0.91039,0.71343,1.03593,0.00088912,0.00088912,0.00088912
114,2238.43,0.98008,0.78403,1.21587,0.86572,0.72292,0.81776,0.61176,0.91145,0.69713,1.02201,0.00088813,0.00088813,0.00088813
115,2257.98,0.95513,0.75867,1.19186,0.89255,0.7273,0.82367,0.59859,1.01361,0.69282,1.07158,0.00088714,0.00088714,0.00088714
116,2277.41,0.96186,0.76632,1.20489,0.86962,0.72747,0.82401,0.60417,0.97032,0.71952,1.06484,0.00088615,0.00088615,0.00088615
117,2296.95,0.96122,0.7565,1.2049,0.84941,0.73528,0.82101,0.59998,0.93722,0.70882,1.04027,0.00088516,0.00088516,0.00088516
118,2316.33,0.95808,0.75823,1.20508,0.87028,0.72483,0.82348,0.60775,0.92489,0.6867,1.02014,0.00088417,0.00088417,0.00088417
119,2335.74,0.96786,0.76332,1.20819,0.86249,0.71295,0.81439,0.60021,0.96459,0.76432,1.06823,0.00088318,0.00088318,0.00088318
120,2355.16,0.962,0.76073,1.19335,0.85383,0.73016,0.81146,0.59157,0.99378,0.72044,1.08293,0.00088219,0.00088219,0.00088219
121,2374.6,0.95327,0.76296,1.20328,0.85662,0.74347,0.82731,0.61262,0.91612,0.68585,1.03672,0.0008812,0.0008812,0.0008812
122,2394.12,0.91908,0.72108,1.18068,0.88601,0.72965,0.82994,0.61755,0.90939,0.67375,1.02882,0.00088021,0.00088021,0.00088021
123,2413.69,0.91204,0.72704,1.17914,0.89047,0.72145,0.82768,0.61195,0.92623,0.69336,1.02602,0.00087922,0.00087922,0.00087922
124,2433.28,0.9659,0.76969,1.2055,0.87754,0.72248,0.81497,0.60886,0.91612,0.71416,1.02073,0.00087823,0.00087823,0.00087823
125,2452.82,0.92418,0.73358,1.18383,0.87513,0.74501,0.82922,0.61788,0.91825,0.67244,1.03497,0.00087724,0.00087724,0.00087724
126,2472.52,0.90826,0.71734,1.17542,0.88058,0.72872,0.82715,0.61399,0.92229,0.68263,1.02665,0.00087625,0.00087625,0.00087625
127,2492.04,0.95895,0.75381,1.20371,0.87382,0.72334,0.81001,0.6032,0.92765,0.69778,1.03675,0.00087526,0.00087526,0.00087526
128,2511.55,0.91328,0.71997,1.17587,0.85944,0.72318,0.815,0.60659,0.91971,0.71693,1.03347,0.00087427,0.00087427,0.00087427
