epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,844.272,1.2789,1.01887,1.30918,0.79833,0.65489,0.73485,0.47657,1.28805,0.96861,1.16418,0.00095941,0.00095941,0.00095941
43,864.128,1.2854,1.0311,1.3075,0.74557,0.6572,0.71728,0.47228,1.23301,0.98773,1.16628,0.00095842,0.00095842,0.00095842
44,884.87,1.28971,1.02318,1.32861,0.80629,0.66709,0.73383,0.48211,1.23212,0.96228,1.15608,0.00095743,0.00095743,0.00095743
45,904.704,1.26302,1.02039,1.31358,0.80431,0.63953,0.71407,0.46182,1.28032,0.98745,1.19154,0.00095644,0.00095644,0.00095644
46,924.334,1.28167,1.00397,1.32427,0.8531,0.65718,0.74445,0.47375,1.29657,0.98265,1.18847,0.00095545,0.00095545,0.00095545
47,944.986,1.23665,0.97563,1.28874,0.74238,0.65694,0.72217,0.44388,1.32585,0.9954,1.20228,0.00095446,0.00095446,0.00095446
48,966.463,1.24899,0.98186,1.29069,0.80866,0.66651,0.73517,0.45909,1.28641,0.96233,1.16861,0.00095347,0.00095347,0.00095347
49,988.171,1.24472,0.99753,1.28613,0.75904,0.68305,0.72677,0.49569,1.18543,0.97173,1.13206,0.00095248,0.00095248,0.00095248
50,1009.76,1.2474,0.98356,1.28882,0.81827,0.68011,0.74658,0.49834,1.21982,0.92097,1.14817,0.00095149,0.00095149,0.00095149
51,1031.3,1.21824,0.98216,1.27842,0.76348,0.69916,0.73334,0.45201,1.3295,0.97421,1.20694,0.0009505,0.0009505,0.0009505
52,1052.85,1.22439,1.01081,1.29292,0.75102,0.68152,0.73028,0.50314,1.12261,0.9536,1.12676,0.00094951,0.00094951,0.00094951
53,1074.33,1.2013,0.95393,1.2739,0.80937,0.65591,0.73921,0.45897,1.31053,0.97532,1.17566,0.00094852,0.00094852,0.00094852
54,1095.64,1.18078,0.93694,1.25433,0.79935,0.67588,0.74999,0.5149,1.13645,0.90841,1.12975,0.00094753,0.00094753,0.00094753
55,1117.16,1.1615,0.93415,1.23892,0.77485,0.69995,0.74972,0.51757,1.10179,0.90959,1.10424,0.00094654,0.00094654,0.00094654
56,1138.61,1.14599,0.91871,1.22973,0.82639,0.66783,0.75798,0.5196,1.16551,0.95153,1.13276,0.00094555,0.00094555,0.00094555
57,1160.24,1.17761,0.92981,1.24567,0.81316,0.69073,0.75036,0.52994,1.07594,0.87371,1.1041,0.00094456,0.00094456,0.00094456
58,1181.68,1.13931,0.88604,1.22678,0.82539,0.68495,0.75561,0.51957,1.14606,0.90881,1.11631,0.00094357,0.00094357,0.00094357
59,1204.38,1.15626,0.91491,1.23465,0.83109,0.67769,0.76631,0.51146,1.18509,0.90165,1.12223,0.00094258,0.00094258,0.00094258
60,1227.69,1.11248,0.89148,1.21238,0.80766,0.65577,0.73577,0.5063,1.12958,0.94636,1.15031,0.00094159,0.00094159,0.00094159
61,1251.71,1.12444,0.9022,1.21182,0.8085,0.68766,0.76077,0.49541,1.2576,0.89746,1.1403,0.0009406,0.0009406,0.0009406
62,1273.48,1.11878,0.86779,1.2169,0.83214,0.69636,0.78148,0.51863,1.18732,0.83761,1.10882,0.00093961,0.00093961,0.00093961
63,1294.38,1.15025,0.89967,1.22995,0.8337,0.69073,0.77475,0.52433,1.157,0.86526,1.12146,0.00093862,0.00093862,0.00093862
64,1315.65,1.15398,0.87737,1.2314,0.81271,0.68211,0.75706,0.5256,1.08849,0.87968,1.10714,0.00093763,0.00093763,0.00093763
65,1337.99,1.11394,0.88596,1.22904,0.78383,0.69124,0.75781,0.52851,1.07009,0.85339,1.0862,0.00093664,0.00093664,0.00093664
66,1359.62,1.1251,0.88244,1.21293,0.82569,0.6961,0.77003,0.52585,1.15034,0.84551,1.09798,0.00093565,0.00093565,0.00093565
67,1380.13,1.11828,0.8603,1.20626,0.87286,0.67537,0.78663,0.53549,1.13079,0.83174,1.12697,0.00093466,0.00093466,0.00093466
68,1400.37,1.10931,0.86763,1.21308,0.84047,0.67442,0.767,0.52974,1.10262,0.84329,1.12332,0.00093367,0.00093367,0.00093367
69,1420.24,1.09745,0.85638,1.2042,0.82573,0.69387,0.77921,0.54753,1.06624,0.82239,1.07586,0.00093268,0.00093268,0.00093268
70,1440.16,1.09516,0.83883,1.19426,0.82596,0.71685,0.79061,0.54306,1.0826,0.80313,1.09499,0.00093169,0.00093169,0.00093169
71,1461.05,1.08062,0.84179,1.21114,0.82123,0.68561,0.77225,0.53715,1.09966,0.84114,1.08529,0.0009307,0.0009307,0.0009307
72,1482.31,1.09185,0.83667,1.19623,0.81001,0.6979,0.77704,0.55919,1.01602,0.80064,1.05847,0.00092971,0.00092971,0.00092971
73,1503.56,1.07063,0.8154,1.18949,0.82912,0.71377,0.78641,0.55027,1.05253,0.80411,1.06354,0.00092872,0.00092872,0.00092872
74,1524.92,1.07628,0.83667,1.18984,0.79532,0.72223,0.77217,0.51404,1.1855,0.88579,1.10942,0.00092773,0.00092773,0.00092773
75,1546.15,1.07306,0.83692,1.1987,0.85808,0.69944,0.78377,0.53611,1.11531,0.82664,1.0995,0.00092674,0.00092674,0.00092674
76,1567.51,1.07779,0.83671,1.2005,0.84605,0.6467,0.74876,0.53757,1.06016,0.89662,1.09138,0.00092575,0.00092575,0.00092575
77,1589.39,1.08751,0.83052,1.19906,0.84831,0.70153,0.79397,0.55871,1.06297,0.78311,1.07464,0.00092476,0.00092476,0.00092476
78,1610.64,1.08362,0.83456,1.19214,0.83568,0.71351,0.79993,0.54995,1.08908,0.79387,1.07946,0.00092377,0.00092377,0.00092377
79,1631.99,1.05146,0.79693,1.17911,0.84738,0.70302,0.78153,0.48873,1.29195,0.85988,1.15526,0.00092278,0.00092278,0.00092278
80,1653.39,1.0794,0.84727,1.20113,0.80449,0.71889,0.78066,0.53768,1.15282,0.84274,1.10411,0.00092179,0.00092179,0.00092179
81,1675.26,1.06478,0.82228,1.18311,0.84204,0.69636,0.79031,0.55592,1.06878,0.78405,1.08124,0.0009208,0.0009208,0.0009208
82,1696.82,1.0789,0.81182,1.19924,0.82018,0.71121,0.78301,0.52771,1.1442,0.8417,1.10028,0.00091981,0.00091981,0.00091981
83,1718.55,1.08,0.82103,1.19366,0.81568,0.69636,0.77666,0.54375,1.08387,0.8016,1.09772,0.00091882,0.00091882,0.00091882
84,1740.02,1.0739,0.8144,1.18951,0.84404,0.64014,0.74756,0.52475,1.07629,0.87574,1.09609,0.00091783,0.00091783,0.00091783
85,1761.79,1.05645,0.81363,1.18828,0.85555,0.70148,0.7947,0.57565,0.99918,0.74963,1.04357,0.00091684,0.00091684,0.00091684
86,1783.45,1.04186,0.80337,1.16773,0.86758,0.70115,0.80334,0.58141,0.99077,0.73406,1.04936,0.00091585,0.00091585,0.00091585
87,1804.94,1.02863,0.80433,1.16964,0.83345,0.7072,0.79242,0.56258,1.0323,0.77187,1.06975,0.00091486,0.00091486,0.00091486
88,1826.58,1.03499,0.78903,1.17571,0.8618,0.70882,0.80311,0.57742,1.03325,0.7431,1.05886,0.00091387,0.00091387,0.00091387
89,1848.32,1.00922,0.78181,1.16629,0.86846,0.70302,0.80024,0.57424,1.0237,0.74637,1.06404,0.00091288,0.00091288,0.00091288
90,1869.86,1.03158,0.77164,1.16382,0.86417,0.70042,0.80238,0.57099,0.99365,0.76234,1.05488,0.00091189,0.00091189,0.00091189
91,1891.48,1.02837,0.77818,1.15056,0.82734,0.71641,0.79699,0.56501,1.03612,0.75555,1.07403,0.0009109,0.0009109,0.0009109
92,1912.89,1.01892,0.76916,1.15824,0.88063,0.69944,0.81103,0.59138,0.98846,0.72664,1.0464,0.00090991,0.00090991,0.00090991
93,1934.44,1.0372,0.77515,1.16432,0.86025,0.72657,0.81048,0.57603,1.01488,0.73502,1.05813,0.00090892,0.00090892,0.00090892
94,1955.99,1.05528,0.77666,1.18212,0.84337,0.70507,0.7867,0.57095,0.99829,0.75325,1.06652,0.00090793,0.00090793,0.00090793
95,1977.55,0.99904,0.76621,1.15455,0.87891,0.70712,0.80738,0.5795,0.99183,0.72843,1.06052,0.00090694,0.00090694,0.00090694
96,1999.03,1.0261,0.76923,1.17538,0.83589,0.71722,0.79791,0.58377,0.97185,0.7384,1.03781,0.00090595,0.00090595,0.00090595
97,2020.8,0.99664,0.74486,1.14986,0.86266,0.702,0.80408,0.57635,0.99725,0.74152,1.05778,0.00090496,0.00090496,0.00090496
98,2042.27,0.96472,0.72949,1.13032,0.88334,0.70609,0.80806,0.58888,0.96866,0.72029,1.02586,0.00090397,0.00090397,0.00090397
99,2063.88,1,0.75365,1.15252,0.85115,0.71633,0.80028,0.56759,1.03562,0.74977,1.06875,0.00090298,0.00090298,0.00090298
100,2085.22,1.01082,0.75374,1.15119,0.87145,0.71852,0.81257,0.59097,1.01004,0.71821,1.05507,0.00090199,0.00090199,0.00090199
101,2106.65,0.97669,0.7363,1.15054,0.85845,0.69944,0.79638,0.58403,0.97269,0.747,1.04806,0.000901,0.000901,0.000901
102,2128.58,0.98225,0.72517,1.13848,0.86044,0.71326,0.80652,0.5841,0.99206,0.73557,1.05174,0.00090001,0.00090001,0.00090001
103,2148.55,0.97421,0.72547,1.14177,0.86978,0.7182,0.80729,0.58978,0.9926,0.70216,1.04454,0.00089902,0.00089902,0.00089902
104,2168.14,0.97117,0.72838,1.13573,0.82954,0.71633,0.78995,0.58117,0.98678,0.7506,1.05059,0.00089803,0.00089803,0.00089803
105,2187.74,0.9653,0.71938,1.13115,0.88326,0.70124,0.81411,0.58014,1.02004,0.72423,1.05528,0.00089704,0.00089704,0.00089704
106,2207.46,0.94192,0.71225,1.12864,0.86351,0.72043,0.80151,0.5812,0.97121,0.72664,1.03327,0.00089605,0.00089605,0.00089605
107,2228.92,0.96283,0.72641,1.12311,0.84646,0.71983,0.8049,0.5962,0.92467,0.71054,1.03026,0.00089506,0.00089506,0.00089506
108,2250.33,0.95845,0.71903,1.11875,0.86966,0.70377,0.8119,0.59719,0.93904,0.71396,1.02097,0.00089407,0.00089407,0.00089407
109,2272,0.96272,0.72538,1.13521,0.87491,0.702,0.80898,0.60027,0.94315,0.7299,1.02814,0.00089308,0.00089308,0.00089308
110,2292.93,0.95661,0.71704,1.13789,0.8545,0.72453,0.80746,0.56921,1.04842,0.74904,1.06239,0.00089209,0.00089209,0.00089209
111,2314.43,0.94326,0.71379,1.11923,0.86502,0.70814,0.8108,0.59756,0.91726,0.7085,1.02127,0.0008911,0.0008911,0.0008911
112,2336.52,0.93843,0.71333,1.10928,0.84469,0.72453,0.81231,0.59121,0.97701,0.72196,1.03911,0.00089011,0.00089011,0.00089011
113,2357.58,0.98283,0.72567,1.12738,0.87549,0.71287,0.81355,0.59386,0.9801,0.72023,1.03937,0.00088912,0.00088912,0.00088912
114,2378.94,0.95538,0.72279,1.13339,0.85815,0.70628,0.80364,0.59251,0.9453,0.71915,1.02859,0.00088813,0.00088813,0.00088813
115,2400.64,0.9575,0.7004,1.12657,0.86869,0.72043,0.81296,0.5986,0.92402,0.71064,1.02046,0.00088714,0.00088714,0.00088714
116,2421.58,0.9232,0.69552,1.11192,0.87501,0.73128,0.82019,0.59882,0.95388,0.69308,1.02069,0.00088615,0.00088615,0.00088615
117,2442.57,0.9123,0.68757,1.10378,0.87312,0.71178,0.80909,0.59286,0.93978,0.69951,1.03891,0.00088516,0.00088516,0.00088516
118,2464.31,0.93289,0.69475,1.11773,0.88171,0.71531,0.81204,0.59958,0.94942,0.72208,1.02166,0.00088417,0.00088417,0.00088417
119,2485.65,0.93788,0.7014,1.12232,0.89518,0.70841,0.81493,0.60354,0.91706,0.69316,1.01354,0.00088318,0.00088318,0.00088318
120,2506.98,0.93009,0.68529,1.11292,0.87332,0.71582,0.81279,0.59844,0.93911,0.71308,1.03081,0.00088219,0.00088219,0.00088219
121,2528.47,0.94099,0.70732,1.11902,0.84999,0.73477,0.81151,0.60179,0.94827,0.72033,1.03363,0.0008812,0.0008812,0.0008812
122,2549.91,0.91529,0.69396,1.1053,0.87832,0.70148,0.81161,0.60007,0.92374,0.70174,1.01593,0.00088021,0.00088021,0.00088021
123,2571.26,0.91589,0.66969,1.10802,0.85776,0.72559,0.82122,0.60501,0.95127,0.70188,1.02728,0.00087922,0.00087922,0.00087922
124,2592.77,0.91428,0.67657,1.11397,0.86641,0.74142,0.82464,0.60802,0.94301,0.67752,1.01896,0.00087823,0.00087823,0.00087823
125,2614.46,0.91266,0.68678,1.10442,0.88959,0.72453,0.82641,0.61453,0.92867,0.67905,1.01355,0.00087724,0.00087724,0.00087724
