epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,846.648,1.23833,1.02065,1.27959,0.84053,0.6851,0.77479,0.51526,1.19221,0.88095,1.15407,0.00095941,0.00095941,0.00095941
43,866.459,1.21986,1.0164,1.27865,0.80811,0.68817,0.77606,0.50745,1.22347,0.89454,1.16176,0.00095842,0.00095842,0.00095842
44,886.216,1.20992,1.00155,1.25811,0.84972,0.67998,0.78751,0.54985,1.08985,0.83411,1.10648,0.00095743,0.00095743,0.00095743
45,906.241,1.18906,0.98887,1.2299,0.80139,0.67127,0.73587,0.50113,1.14592,0.96468,1.13653,0.00095644,0.00095644,0.00095644
46,926.067,1.19491,0.99144,1.25502,0.84367,0.67281,0.77791,0.50164,1.24795,0.88581,1.16544,0.00095545,0.00095545,0.00095545
47,946.003,1.22521,1.01624,1.25032,0.81082,0.70302,0.78345,0.54406,1.10196,0.83887,1.13053,0.00095446,0.00095446,0.00095446
48,965.939,1.17468,0.96777,1.24541,0.85077,0.69185,0.78484,0.54565,1.07518,0.83398,1.10685,0.00095347,0.00095347,0.00095347
49,985.884,1.1883,0.97307,1.24091,0.78433,0.69534,0.76186,0.5263,1.07891,0.9085,1.11442,0.00095248,0.00095248,0.00095248
50,1005.85,1.17735,0.95982,1.23689,0.83951,0.66974,0.77545,0.53975,1.10654,0.84619,1.12764,0.00095149,0.00095149,0.00095149
51,1025.87,1.19448,0.97347,1.23635,0.83951,0.69022,0.7822,0.52434,1.15283,0.85304,1.12895,0.0009505,0.0009505,0.0009505
52,1045.93,1.14168,0.93369,1.22437,0.85064,0.66667,0.77256,0.53353,1.07424,0.84055,1.09945,0.00094951,0.00094951,0.00094951
53,1065.83,1.14645,0.93111,1.21633,0.86799,0.67673,0.79045,0.56536,1.02399,0.79504,1.08348,0.00094852,0.00094852,0.00094852
54,1085.92,1.14622,0.94302,1.21928,0.83075,0.69176,0.78825,0.5637,1.02897,0.83938,1.08489,0.00094753,0.00094753,0.00094753
55,1105.91,1.18387,0.96753,1.24701,0.7595,0.71992,0.76207,0.54383,1.02795,0.94017,1.095,0.00094654,0.00094654,0.00094654
56,1125.83,1.15086,0.96426,1.23891,0.81682,0.70321,0.786,0.56585,1.01231,0.83857,1.07582,0.00094555,0.00094555,0.00094555
57,1145.72,1.1255,0.92255,1.2095,0.83769,0.72197,0.81421,0.56876,1.04837,0.76927,1.076,0.00094456,0.00094456,0.00094456
58,1165.58,1.14091,0.93211,1.21967,0.84364,0.70558,0.79443,0.55085,1.08567,0.81314,1.11165,0.00094357,0.00094357,0.00094357
59,1185.55,1.16063,0.94273,1.22427,0.84766,0.69278,0.7897,0.53116,1.17285,0.85283,1.13156,0.00094258,0.00094258,0.00094258
60,1205.49,1.10326,0.92438,1.20445,0.85547,0.70609,0.80132,0.56396,1.0704,0.78183,1.09065,0.00094159,0.00094159,0.00094159
61,1225.53,1.14224,0.92527,1.2241,0.8121,0.70816,0.78691,0.55084,1.07127,0.80015,1.10745,0.0009406,0.0009406,0.0009406
62,1245.41,1.12943,0.9222,1.21909,0.87693,0.6938,0.79824,0.5637,1.04648,0.79598,1.07447,0.00093961,0.00093961,0.00093961
63,1265.42,1.11269,0.90976,1.20224,0.86264,0.69534,0.79805,0.58369,1.00424,0.7582,1.06489,0.00093862,0.00093862,0.00093862
64,1285.38,1.10505,0.89322,1.19912,0.81543,0.70353,0.78972,0.55771,1.04531,0.81881,1.08355,0.00093763,0.00093763,0.00093763
65,1305.34,1.13131,0.89522,1.20977,0.84106,0.70661,0.80196,0.57065,1.01655,0.775,1.08168,0.00093664,0.00093664,0.00093664
66,1325.31,1.12592,0.89058,1.20984,0.87376,0.70523,0.81322,0.56204,1.08436,0.75926,1.10212,0.00093565,0.00093565,0.00093565
